"ID de registro","Nombre de Línea de OT","Punto de venta.id","Punto de venta"
zcrm_707987000001924061,"Palace Parfums Santiago III, OT, 30000, ADEJE, C.C. Parque Santiago III. Avda. Las Américas, 38650. Arona, Santa Cruz de Tenerife. Local 41., d7f735909f",zcrm_707987000000596814,"Palace Parfums Santiago III"
zcrm_707987000001924062,"Palace Parfums Santiago III, OT, 30000, ADEJE, C.C. Parque Santiago III. Avda. Las Américas, 38650. Arona, Santa Cruz de Tenerife. Local 41., 4fe2a940f7",zcrm_707987000000596814,"Palace Parfums Santiago III"
zcrm_707987000001924063,"Palace Parfums Santiago III, OT, 30000, ADEJE, C.C. Parque Santiago III. Avda. Las Américas, 38650. Arona, Santa Cruz de Tenerife. Local 41., 09e6b030bc",zcrm_707987000000596814,"Palace Parfums Santiago III"
zcrm_707987000001924064,"Palace Parfums Santiago III, OT, 30000, ADEJE, C.C. Parque Santiago III. Avda. Las Américas, 38650. Arona, Santa Cruz de Tenerife. Local 41., 2d00711212",zcrm_707987000000596814,"Palace Parfums Santiago III"
zcrm_707987000001924065,"Palace Parfums Santiago III, OT, 30000, ADEJE, C.C. Parque Santiago III. Avda. Las Américas, 38650. Arona, Santa Cruz de Tenerife. Local 41., 8ef8a12efc",zcrm_707987000000596814,"Palace Parfums Santiago III"
zcrm_707987000001924066,"Glamour & Beauty - Mirador, OT, 30001, TELDE, C.C. El Mirador. Av. Santa Rita de Casia, 35220 Las Palmas de Gran Canaria, Las Palmas., d514795dd6",zcrm_707987000000598494,"Glamour & Beauty - Mirador"
zcrm_707987000001924067,"Dalia 26, OT, 30002, YUMBO, Avda. Estados Unidos, 54 Centro Comercial Yumbo, planta 3, local 325 uno B, 35100, Las Palmas, 4744212860",zcrm_707987000000599449,"Dalia 26"
zcrm_707987000001924068,"Dalia 26, OT, 30002, YUMBO, Avda. Estados Unidos, 54 Centro Comercial Yumbo, planta 3, local 325 uno B, 35100, Las Palmas, f04cb24904",zcrm_707987000000599449,"Dalia 26"
zcrm_707987000001924069,"Dalia 26, OT, 30002, YUMBO, Avda. Estados Unidos, 54 Centro Comercial Yumbo, planta 3, local 325 uno B, 35100, Las Palmas, fdb58ccbc0",zcrm_707987000000599449,"Dalia 26"
zcrm_707987000001924070,"Dalia 6, OT, 30003, PUERTO DEL CARMEN, Av. de las Playas, 31, 35510 Puerto del Carmen, Las Palmas, a0ae6fa337",zcrm_707987000000597836,"Dalia 6"
