Record Id,Punto de venta,Cerrado,Dirección,lat,lng,Área,Sector,ZONA,Nº,Código postal,Actualizada,Clasificación,Nº teléfono
707987000000596286,Hotel Meliá Las Palmas,FALSE,"C/Gomera, nº 6 -Las Canteras-",,,GC,NORTE GC,PUERTO,2192,,FALSE,HOTEL,
707987000000596276,Martin e Hijos (Almacen),FALSE,"C/Misiones, nº 3 -5",,,GC,NORTE GC,PUERTO,2177,,FALSE,,928 47 14 43
707987000000596004,Gimnasio Olimpic Gym,FALSE,"Avda Alc Ramirez Bethencourt, 5",,,GC,NORTE GC,TRIANA,2159,,FALSE,DEPORTE,928 36 81 23
707987000000584997,Farmacia José M.Medina Suarez,FALSE,"C/Tomás Morales, 71",,,GC,NORTE GC,M&L,2150,,FALSE,FARMACIA,
707987000000584985,Farmacia Cristobal Garcia Lison,FALSE,"Avda Tirajana,39 edf Mercurio",,,GC,SUR GC,CC KASBAH,2138,35290,FALSE,FARMACIA,928 76 24 21
707987000000584984,Farmacia Cristina Navarro-Cárdenes,FALSE,Juan Manuel Durán Glez 18,,,GC,NORTE GC,PUERTO,2137,,FALSE,FARMACIA,
707987000000584983,Farmacia Mª Cinta Zaragoza Tafalla,FALSE,"CC San Agustín, local 219",,,GC,SUR GC,CC KASBAH,2136,,FALSE,FARMACIA,928 76 20 18
707987000000584957,Vanessa,FALSE,"CC San Fernando, local 13-23",,,GC,SUR GC,S. FERNANDO (GC),2090,35100,FALSE,PERFUMERIA,928 77 29 12
707987000000584940,Palace Parfum San Eugenio,FALSE,"CC San Eugenio, local 5",,,TF,SUR TF,S EUGENIO,2071,38660,FALSE,PERFUMERIA,922 714 352
707987000000584929,Sabina Alegranza,TRUE,"Edificio Alegranza II,Avda Italia 9",,,GC,SUR GC,PARCELA X,2051,35100,TRUE,PERFUMERIA,928 76 65 18
707987000000584910,Riu Parfums Plaza,FALSE,"CC Plaza, Lc 30- 32- 33",,,GC,SUR GC,PARCELA X,2012,35100,FALSE,PERFUMERIA,928 73 03 17
707987000000584909,Miriam,FALSE,"CC San Agustín, local 241",,,GC,SUR GC,S. FERNANDO (GC),2010,35120,FALSE,PERFUMERIA,928767267
707987000000584873,La Perfumerie (CERRADA),FALSE,"CC Plaza, local 27",,,GC,SUR GC,PARCELA X,1954,35100,FALSE,PERFUMERIA,928 76 01 91
707987000000584829,Elizabeth (CERRADA),FALSE,"CC Agua Marina, Puerto Colón",,,TF,SUR TF,S EUGENIO,1880,38670,FALSE,PERFUMERIA,922 71 59 16
707987000000584826,Drago IV (CERRADA),TRUE,"CC La Cúpula, local 1",,,FT,CENTRO FT,EL CASTILLO,1871,35610,FALSE,PERFUMERIA,928 16 26 49
707987000000584824,Drago,TRUE,"C/Juan Carlos I, nº 9",,,FT,SUR FT,EL CASTILLO,1868,35620,FALSE,PERFUMERIA,928 87 10 80
707987000000584823,(C) Glamour & Beauty (Douglas II),TRUE,CC Plaza Local 31,,,GC,SUR GC,PARCELA X,1866,35100,FALSE,PERFUMERIA,928 77 80 47
707987000000584800,Corte Ingles M&L 13,FALSE,"Avda Mesa y López, nº 13",,,GC,NORTE GC,M&L,1828,35007,TRUE,PERFUMERIA,928 26 30 00
707987000000584796,Cita,FALSE,"CC Cita, local 248-263",,,GC,SUR GC,CC CITA,1824,35100,FALSE,PERFUMERIA,928 76 26 03
707987000000584791,(C) Grupo Lis-Lis Center I,TRUE,"Ctro Cial San Eugenio, local nº 35-36",,,TF,SUR TF,S EUGENIO,1809,38660,FALSE,PERFUMERIA,922 71 48 55
707987000000584782,Boutique,FALSE,C/León y Castillo,,,GC,NORTE GC,PUERTO,1795,35007,FALSE,,
707987000000584775,Aranda,FALSE,"CC San Agustín, local 241-242",,,GC,SUR GC,SAN AGUSTIN,1778,,FALSE,PERFUMERIA,928 76 72 67
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
,,FALSE,,,,,,,,,FALSE,,
