"Punto de venta","Nombre de Línea de OT","Nombre del cliente","OT relacionada",Fase,"Notion ID","Fecha de creación","Hora de creación","Minutos de creación","Navision - Línea","Tipo de Trabajo","Fecha de previsión de Línea","Observaciones internas",Confirmada,"Número de referencia",Comunidad,"Fecha actuación","Estado Navision",Ruta,"Facturada Navision","Anulada Navision","Incidencia Navision","Descripción Incidencia Navision",Ubicación,"Tipo (material)","Descuento montaje","Descuento realizado","Alto (medida)","Ancho (medida)",Quitar,Poner,Desmontado,Actualizado,"Código estándar",M2,"Fecha entrada","Obsoleta Navision","Descripción Tipo Trabajo","Observaciones montador","Horas actuación","Días actuación","Minutos actuación","Revisado en la ruta","Sin cargo"
707987000000584785,"Cala I, OT, 31327, PUERTO DEL  ROSARIO, C/León y Castillo, nº 39, c2a6f00741",707987000000885265,707987000011760828,Nuevas,,2025-02-18,13,59,10000,"ESC MONTAR",2025-03-31,"ESC. DCHO",false,,CAN,1970-01-01,Pendiente,,false,false,,,,,0,0,0,0,,,false,false,,0,1970-01-01,false,,,0,0,0,false,false
707987000000584821,"Esennia Meloneras, OT, 31327, VARADERO, C. Mar Mediterráneo, P38,  Maspalomas, Las Palmas, 742ef1a736",707987000000885265,707987000011760828,Nuevas,,2025-02-18,13,59,20000,"ESC MONTAR",2025-03-31,"ESC. 2 CENTRAL DEL PRIMER GRUPO (ESC. FIJO L'OREAL)",false,,CAN,1970-01-01,Pendiente,,false,false,,,,,0,0,0,0,,,false,false,,0,1970-01-01,false,,,0,0,0,false,false
707987000000584849,"Fund Grube Tropical, OT, 31327, PARCELA X, Avenida Madrid, s/n, C.C. Tropical, Locales 8-9-10, 35100, Las Palmas, e2ce1a5296",707987000000885265,707987000011760828,Nuevas,,2025-02-18,13,59,30000,"ESC MONTAR",2025-03-31,"ESC. 1",false,,CAN,1970-01-01,Pendiente,,false,false,,,,,0,0,0,0,,,false,false,,0,1970-01-01,false,,,0,0,0,false,false
707987000000584851,"Fund Grube Varadero, OT, 31327, VARADERO, Calle Mar Mediterráneo, s/n. CC Varadero, Maspalomas, Las Palmas, 416c1fbc72",707987000000885265,707987000011760828,Nuevas,,2025-02-18,13,59,40000,"ESC MONTAR",2025-03-31,"ESC. 4",false,,CAN,1970-01-01,Pendiente,,false,false,,,,,0,0,0,0,,,false,false,,0,1970-01-01,false,,,0,0,0,false,false
707987000000584912,"Riu Parfums Varadero, OT, 31327, VARADERO, C.C. Varadero. C. Mar Mediterráneo, 35100 Maspalomas, Las Palmas., 6b2cc83381",707987000000885265,707987000011760828,Nuevas,,2025-02-18,13,59,50000,"ESC MONTAR",2025-03-31,"ESC. PEQUE",false,,CAN,1970-01-01,Pendiente,,false,false,,,,,0,0,0,0,,,false,false,,0,1970-01-01,false,,,0,0,0,false,false
707987000000584940,"Palace Parfum San Eugenio, OT, 31327, S EUGENIO, CC San Eugenio, local 5, 1804005103",707987000000885265,707987000011760828,Nuevas,,2025-02-18,13,59,60000,"ESC MONTAR",2025-03-31,"ESC.  PUERTA IZQ. (2 VENTANAS)",false,,CAN,1970-01-01,Pendiente,,false,false,,,,,0,0,0,0,,,false,false,,0,1970-01-01,false,,,0,0,0,false,false
707987000000584968,"Dalia 14, OT, 31327, PLAYA BLANCA, C. Limones, 20, 35570 Playa Blanca, Las Palmas, 9fc5de4a14",707987000000885265,707987000011760828,Nuevas,,2025-02-18,13,59,70000,"ESC MONTAR",2025-03-31,"ESC. 4",false,,CAN,1970-01-01,Pendiente,,false,false,,,,,0,0,0,0,,,false,false,,0,1970-01-01,false,,,0,0,0,false,false
707987000000596321,"Sasha, OT, 31327, PLAYA BLANCA, C. Limones, 58 Local  1  y 2, 6bb4cb83a2",707987000000885265,707987000011760828,Nuevas,,2025-02-18,13,59,80000,"ESC MONTAR",2025-03-31,"ESC. LATERAL Enmarque en portería, nunca enmarque negro. ",false,,CAN,1970-01-01,Pendiente,,false,false,,,,,0,0,0,0,,,false,false,,0,1970-01-01,false,,,0,0,0,false,false
707987000000596339,"GRUPO LIS -LIS VIII, OT, 31327, LAS GALLETAS, CC Alborada, local nº 2 A  Avda Paseo Marcel Vange, 39dc58b34f",707987000000885265,707987000011760828,Nuevas,,2025-02-18,13,59,90000,"ESC MONTAR",2025-03-31,,false,,CAN,1970-01-01,Pendiente,,false,false,,,,,0,0,0,0,,,false,false,,0,1970-01-01,false,,,0,0,0,false,false
707987000000596400,"Perfumes.es Oasis, OT, 31327, SANTIAGO, C.C. Oasis Av. las Américas, 9, Arona, 6298196d86",707987000000885265,707987000011760828,Nuevas,,2025-02-18,13,59,100000,"ESC MONTAR",2025-03-31,,false,,CAN,1970-01-01,Pendiente,,false,false,,,,,0,0,0,0,,,false,false,,0,1970-01-01,false,,,0,0,0,false,false
707987000000596419,"Fund Grube Martianez, OT, 31327, PUERTO DE LA CRUZ, Av. de Cristóbal Colón, 12,  Puerto de la Cruz, Santa Cruz de Tenerife. Martianez Bajos Hotel H, af96c92d09",707987000000885265,707987000011760828,Nuevas,,2025-02-18,13,59,110000,"ESC MONTAR",2025-03-31,"ESC. 4 + 4 EXTRA+INTERIOR TIENDA",false,,CAN,1970-01-01,Pendiente,,false,false,,,,,0,0,0,0,,,false,false,,0,1970-01-01,false,,,0,0,0,false,false
707987000000596477,"Grupo Lis - Lis Center II, OT, 31327, FAÑABE, C. Lisboa, 2,  Costa Adeje, 0eb0e49d06",707987000000885265,707987000011760828,Nuevas,,2025-02-18,13,59,120000,"ESC MONTAR",2025-03-31,,false,,CAN,1970-01-01,Pendiente,,false,false,,,,,0,0,0,0,,,false,false,,0,1970-01-01,false,,,0,0,0,false,false
707987000000596874,"Dalia 19, OT, 31327, JANDIA, Centro Comercial Faro Atlántica, local 10-12. Avenida el Saladar,  s/n. Las Palmas, 9f1c0bed26",707987000000885265,707987000011760828,Nuevas,,2025-02-18,13,59,130000,"ESC MONTAR",2025-03-31,"ESC 2",false,,CAN,1970-01-01,Pendiente,,false,false,,,,,0,0,0,0,,,false,false,,0,1970-01-01,false,,,0,0,0,false,false
707987000000596901,"Grupo Lis - Lis Center III - Oasis, OT, 31327, SANTIAGO, C.C. Oasis Av. las Américas, 9, Arona, Santa Cruz de Tenerife. Local 9, a55be3b5bd",707987000000885265,707987000011760828,Nuevas,,2025-02-18,13,59,140000,"ESC MONTAR",2025-03-31,,false,,CAN,1970-01-01,Pendiente,,false,false,,,,,0,0,0,0,,,false,false,,0,1970-01-01,false,,,0,0,0,false,false
707987000000597363,"Fund Grube - Mirador, OT, 31327, TELDE, C.C. El Mirador. Av. Santa Rita de Casia, 35220 Las Palmas de Gran Canaria, Las Palmas., 91ce8be26a",707987000000885265,707987000011760828,Nuevas,,2025-02-18,13,59,150000,"ESC MONTAR",2025-03-31,"ESC. 5",false,,CAN,1970-01-01,Pendiente,,false,false,,,,,0,0,0,0,,,false,false,,0,1970-01-01,false,,,0,0,0,false,false
707987000000597463,"Fund Grube Vista Sur, OT, 31327, SANTIAGO, Finca 3, Av. las Américas, 10 Playa de la Américas, Sta. C. de Tenerife, CC Vista Sur, 83bf328cbc",707987000000885265,707987000011760828,Nuevas,,2025-02-18,13,59,160000,"ESC MONTAR",2025-03-31,ESC21-22-23-24,false,,CAN,1970-01-01,Pendiente,,false,false,,,,,0,0,0,0,,,false,false,,0,1970-01-01,false,,,0,0,0,false,false
707987000000597817,"Esennia Tías, OT, 31327, PUERTO DEL CARMEN, Av. de las Playas, 5, Tías, b85d231f1f",707987000000885265,707987000011760828,Nuevas,,2025-02-18,13,59,170000,"ESC MONTAR",2025-03-31,"ESC 1 JUNTO A LA DCHA (ESC. FIJO L'OREAL)",false,,CAN,1970-01-01,Pendiente,,false,false,,,,,0,0,0,0,,,false,false,,0,1970-01-01,false,,,0,0,0,false,false
707987000000597836,"Dalia 6, OT, 31327, PUERTO DEL CARMEN, Av. de las Playas, 31, 35510 Puerto del Carmen, Las Palmas, bf2419f659",707987000000885265,707987000011760828,Nuevas,,2025-02-18,13,59,180000,"ESC MONTAR",2025-03-31,"ESC 3",false,,CAN,1970-01-01,Pendiente,,false,false,,,,,0,0,0,0,,,false,false,,0,1970-01-01,false,,,0,0,0,false,false
